                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4675,                0.77088,                 1.1123,                0.82511,                0.54559,                0.62184,                0.33348,                 1.3927,                 0.6645,                 1.1191,               0.008845,               0.008845,               0.008845
                     37,                 1.4676,                0.76676,                 1.1103,                0.82416,                0.54884,                 0.6249,                0.33607,                 1.3885,                0.65977,                 1.1183,               0.008812,               0.008812,               0.008812
                     38,                 1.4707,                0.76758,                 1.1058,                0.82266,                 0.5472,                0.62433,                0.33548,                 1.3831,                0.65761,                 1.1175,               0.008779,               0.008779,               0.008779
                     39,                 1.4614,                0.76226,                 1.1082,                0.82464,                 0.5509,                0.62679,                0.33573,                 1.3878,                0.65537,                 1.1178,               0.008746,               0.008746,               0.008746
                     40,                 1.4618,                 0.7608,                 1.1065,                0.82235,                0.55078,                0.62796,                0.33639,                 1.3875,                0.65379,                 1.1165,               0.008713,               0.008713,               0.008713
                     41,                 1.4626,                0.76185,                 1.1056,                0.81785,                0.55149,                0.62529,                0.33607,                 1.3862,                0.65216,                 1.1165,                0.00868,                0.00868,                0.00868
                     42,                  1.463,                0.76016,                  1.107,                0.82301,                 0.5512,                0.62767,                0.33734,                 1.3848,                0.65046,                 1.1154,               0.008647,               0.008647,               0.008647
                     43,                   1.47,                0.76205,                  1.105,                 0.8225,                0.55609,                0.63205,                0.33995,                 1.3793,                0.64722,                 1.1125,               0.008614,               0.008614,               0.008614
                     44,                 1.4499,                0.75543,                 1.1057,                0.81924,                0.55385,                0.62988,                0.33837,                 1.3785,                0.64735,                 1.1128,               0.008581,               0.008581,               0.008581
                     45,                 1.4581,                0.75757,                 1.1016,                0.82266,                0.55562,                0.63227,                0.34025,                 1.3752,                0.64483,                 1.1115,               0.008548,               0.008548,               0.008548
                     46,                 1.4522,                0.75375,                 1.1054,                0.82948,                0.55327,                0.63317,                0.34097,                 1.3741,                0.64368,                 1.1117,               0.008515,               0.008515,               0.008515
                     47,                  1.458,                0.75289,                 1.1046,                0.82988,                0.55525,                0.63427,                0.34187,                 1.3744,                0.64106,                 1.1109,               0.008482,               0.008482,               0.008482
                     48,                 1.4504,                0.74803,                 1.1027,                0.83136,                0.55612,                0.63509,                0.34248,                 1.3725,                0.63951,                 1.1101,               0.008449,               0.008449,               0.008449
                     49,                 1.4482,                0.74463,                 1.1023,                0.82885,                0.55698,                0.63509,                0.34208,                 1.3731,                0.63769,                  1.111,               0.008416,               0.008416,               0.008416
                     50,                 1.4378,                0.74313,                 1.1014,                 0.8318,                0.55622,                0.63468,                0.34189,                 1.3727,                0.63722,                 1.1101,               0.008383,               0.008383,               0.008383
                     51,                 1.4395,                0.74074,                 1.0978,                0.82998,                0.55652,                0.63546,                0.34234,                 1.3701,                0.63569,                 1.1091,                0.00835,                0.00835,                0.00835
                     52,                 1.4373,                0.73639,                 1.0973,                0.82842,                0.55866,                 0.6364,                 0.3435,                 1.3689,                0.63318,                  1.108,               0.008317,               0.008317,               0.008317
                     53,                 1.4431,                0.74332,                  1.102,                0.82978,                0.55805,                0.63635,                0.34358,                 1.3691,                0.63224,                 1.1087,               0.008284,               0.008284,               0.008284
                     54,                 1.4366,                0.73628,                 1.0998,                0.82862,                0.55984,                0.63676,                0.34372,                 1.3692,                0.63136,                 1.1091,               0.008251,               0.008251,               0.008251
                     55,                 1.4367,                0.73501,                 1.0975,                0.82847,                0.55819,                0.63692,                 0.3442,                 1.3661,                0.63081,                 1.1082,               0.008218,               0.008218,               0.008218
                     56,                 1.4407,                0.73762,                 1.0954,                0.82713,                0.55934,                0.63753,                0.34483,                 1.3656,                0.62933,                 1.1075,               0.008185,               0.008185,               0.008185
                     57,                 1.4382,                0.73899,                 1.0993,                0.82858,                 0.5591,                0.63836,                0.34496,                 1.3648,                 0.6281,                 1.1076,               0.008152,               0.008152,               0.008152
                     58,                 1.4398,                0.73801,                 1.0986,                0.82969,                0.55917,                0.63805,                0.34569,                 1.3646,                0.62826,                 1.1066,               0.008119,               0.008119,               0.008119
                     59,                 1.4327,                 0.7324,                 1.0976,                 0.8313,                 0.5594,                0.63802,                0.34574,                 1.3645,                 0.6273,                 1.1063,               0.008086,               0.008086,               0.008086
                     60,                 1.4414,                 0.7364,                 1.0905,                0.83061,                0.56091,                0.63925,                0.34587,                 1.3639,                 0.6267,                 1.1059,               0.008053,               0.008053,               0.008053
                     61,                   1.43,                0.73166,                 1.0956,                0.83026,                0.56161,                0.63962,                0.34572,                 1.3634,                0.62519,                  1.106,                0.00802,                0.00802,                0.00802
                     62,                 1.4319,                0.73141,                 1.0931,                0.83172,                0.56224,                0.63975,                0.34605,                 1.3633,                0.62458,                 1.1054,               0.007987,               0.007987,               0.007987
                     63,                  1.439,                0.73239,                 1.0921,                0.82862,                0.56436,                0.64071,                0.34667,                 1.3635,                0.62403,                 1.1048,               0.007954,               0.007954,               0.007954
                     64,                 1.4308,                0.72991,                 1.0971,                0.83157,                0.56345,                0.64066,                0.34654,                 1.3626,                0.62286,                 1.1041,               0.007921,               0.007921,               0.007921
                     65,                 1.4217,                0.72491,                 1.0889,                0.83032,                0.56504,                0.64109,                0.34709,                 1.3616,                  0.622,                  1.104,               0.007888,               0.007888,               0.007888
                     66,                 1.4348,                0.72997,                 1.0901,                0.83088,                0.56542,                0.64139,                0.34747,                 1.3616,                0.62177,                 1.1043,               0.007855,               0.007855,               0.007855
                     67,                  1.423,                0.72248,                 1.0894,                0.83226,                0.56519,                 0.6412,                0.34693,                 1.3616,                0.62104,                 1.1041,               0.007822,               0.007822,               0.007822
                     68,                 1.4196,                0.72384,                 1.0874,                0.83381,                0.56529,                0.64208,                 0.3474,                 1.3614,                0.62094,                  1.104,               0.007789,               0.007789,               0.007789
                     69,                 1.4201,                0.72309,                 1.0892,                0.83319,                0.56731,                 0.6429,                 0.3478,                 1.3609,                 0.6205,                 1.1032,               0.007756,               0.007756,               0.007756
                     70,                 1.4205,                0.72312,                 1.0871,                0.83322,                 0.5666,                0.64316,                0.34804,                 1.3607,                0.62002,                 1.1028,               0.007723,               0.007723,               0.007723
                     71,                  1.427,                0.72174,                 1.0857,                0.83536,                0.56603,                0.64379,                0.34824,                 1.3602,                0.61922,                 1.1024,                0.00769,                0.00769,                0.00769
                     72,                 1.4253,                0.72735,                 1.0896,                0.83339,                0.56721,                0.64412,                0.34841,                 1.3603,                0.61887,                 1.1024,               0.007657,               0.007657,               0.007657
                     73,                  1.412,                0.71465,                 1.0897,                  0.835,                0.56648,                0.64432,                 0.3486,                 1.3598,                0.61842,                 1.1023,               0.007624,               0.007624,               0.007624
                     74,                 1.4266,                0.72129,                 1.0878,                0.83514,                0.56711,                0.64487,                0.34879,                 1.3594,                0.61831,                  1.102,               0.007591,               0.007591,               0.007591
                     75,                 1.4183,                0.71975,                 1.0874,                0.83344,                0.56779,                0.64529,                0.34896,                 1.3591,                0.61812,                 1.1019,               0.007558,               0.007558,               0.007558
